kmer size;file;time;rate
2;ecoli_5X;0.022571563720703125;1.2332306711088359
3;ecoli_5X;0.021802186965942383;1.2907711091006508
4;ecoli_5X;0.03712868690490723;1.3503730794677644
5;ecoli_5X;0.12944912910461426;1.4697504625693854
6;ecoli_5X;0.369704008102417;1.4893231040528625
7;ecoli_5X;0.8073654174804688;1.3948232658794943
8;ecoli_5X;0.9946885108947754;1.2040590587309912
9;ecoli_5X;1.0392351150512695;1.144823664139978
10;ecoli_5X;1.1032397747039795;1.1268105662692176
2;ecoli_10X;0.028757333755493164;1.2750332671625837
3;ecoli_10X;0.03964996337890625;1.334898550195043
4;ecoli_10X;0.07110190391540527;1.4527143574372052
5;ecoli_10X;0.24616599082946777;1.773056271803428
6;ecoli_10X;0.6816360950469971;1.8600169298429852
7;ecoli_10X;1.467165470123291;1.5340731330904662
8;ecoli_10X;1.823044776916504;1.2755007179612519
9;ecoli_10X;2.015132427215576;1.1638550378335324
10;ecoli_10X;2.048138380050659;1.1466664574047336
2;ecoli_20X;0.05203366279602051;1.3503672506428037
3;ecoli_20X;0.06829071044921875;1.377725854867107
4;ecoli_20X;0.19043827056884766;1.6729070394716186
5;ecoli_20X;0.5267233848571777;2.1295517138642426
6;ecoli_20X;1.2550649642944336;2.4127713353010676
7;ecoli_20X;2.883908748626709;1.7645564132516047
8;ecoli_20X;3.718573570251465;1.3206877126568872
9;ecoli_20X;4.068624496459961;1.191027081728825
10;ecoli_20X;4.21054220199585;1.1575818502491502
2;ecoli_40X;0.1181786060333252;1.343265282224781
3;ecoli_40X;0.13158082962036133;1.3777849999470113
4;ecoli_40X;0.3443641662597656;1.6155330958495568
5;ecoli_40X;0.9362106323242188;2.2206267507800224
6;ecoli_40X;2.6225392818450928;2.9578118482753393
7;ecoli_40X;5.636193037033081;1.9065640764929022
8;ecoli_40X;7.086256265640259;1.3513183272315705
9;ecoli_40X;7.865723371505737;1.1969605056003338
10;ecoli_40X;8.041791439056396;1.1591606169160538
2;ecoli_80X;0.2103426456451416;1.3586426333488384
3;ecoli_80X;0.24353790283203125;1.396290340077989
4;ecoli_80X;0.5055077075958252;1.6042811512099977
5;ecoli_80X;1.3924715518951416;2.1490910592153245
6;ecoli_80X;4.7579264640808105;3.3885330417122326
7;ecoli_80X;10.66108226776123;2.162400673500133
8;ecoli_80X;14.301990747451782;1.4324903777828601
9;ecoli_80X;15.828584671020508;1.2191221250691524
10;ecoli_80X;16.06387495994568;1.1639868283033465
2;ecoli_120X;0.42052626609802246;1.3471361879867088
3;ecoli_120X;0.4649629592895508;1.4528149751001687
4;ecoli_120X;0.9125983715057373;1.7043841758062368
5;ecoli_120X;2.336386203765869;2.3760836244108177
6;ecoli_120X;8.225375413894653;3.6569771381333767
7;ecoli_120X;16.772908210754395;2.1499120565289602
8;ecoli_120X;21.891867876052856;1.4019932811287321
9;ecoli_120X;23.940173864364624;1.2133238612192325
10;ecoli_120X;24.331010818481445;1.1596171098657213
2;mix;2.3803884983062744;1.082132144465915
3;mix;3.3465383052825928;1.077024701353199
4;mix;6.0419816970825195;1.092739740449371
5;mix;13.120102643966675;1.117148698679434
6;mix;28.801263570785522;1.1666533111290798
7;mix;85.52435493469238;1.2180754797941218
8;mix;150.6847529411316;1.1756690329673367
9;mix;151.35148215293884;1.1292158928779803
10;mix;161.2908022403717;1.0833016571782468
2;HChr1_120X;3.118939161300659;1.1326620149058357
3;HChr1_120X;4.025228261947632;1.1601820912439433
4;HChr1_120X;7.42564058303833;1.2347106567298547
5;HChr1_120X;20.209304094314575;1.4299475036221572
6;HChr1_120X;52.75345516204834;1.7892091057642865
7;HChr1_120X;137.91542720794678;1.6272152984470072
8;HChr1_120X;194.13085103034973;1.293052492560657
9;HChr1_120X;210.01645469665527;1.1458811113401821
10;HChr1_120X;236.75643038749695;1.0908210522101969
